#Filename       start    end       CORR  B     Seq   Keep?  PUMP  Astart  Aend   Bstart Bend   ChUpdate   Gas    B_Servo   HV    HVS   OTop  MTop  MBot  OBot   Others
10453-10738     10453    10738     4    -1     2     1      40    60      80     240    270    1          40     1         10    05    15    12    14    11
10747-11038     10747    11038     2    -1     2     1      40    60      80     240    270    1          40     1         10    05    15    12    14    11
11059-11342     11059    11342     2    -1     2     1      40    60      80     240    270    1          40     1         06    30    15    12    14    11
11342-11374     11342    11374     4    -1     2     1      40    60      80     240    270    1          40     1         06    30    15    12    14    11
11382-11644     11382    11644     2    -1     2     1      40    60      80     240    270    1          40     1         10    05    15    12    14    11
11645-11677     11645    11677     4    -1     2     1      40    60      80     240    270    1          40     1         10    05    15    12    14    11
11683-11847     11683    11847     2    -1     2     1      40    60      80     240    270    1          40     1         06    05    15    12    14    11
11988-12020     11988    12020     4    -1     2     1      40    60      80     240    270    1          40     1         06    05    15    12    14    11
12026-12307     12026    12307     2    -1     2     1      40    60      80     240    270    1          40     1         06    05    15    12    14    11
12027-12042     12027    12042     4    -1     2     1      40    60      80     240    270    1          40     1         06    05    15    12    14    11
12332-12580     12332    12580     2     1     2     1      40    60      80     240    270    1          40     1         10    30    15    12    14    11
12580-12612     12580    12612     4     1     2     1      40    60      80     240    270    1          40     1         10    30    15    12    14    11
12618-12654     12618    12654     2     1     2     1      40    60      80     240    270    1          40     1         06    30    15    12    14    11
12657-12864     12657    12864     2     1     2     1      40    60      80     240    270    1          40     1         06    30    15    12    14    11
12865-12897     12865    12897     4     1     2     1      40    60      80     240    270    1          40     1         06    30    15    12    14    11
12902-13146     12902    13146     2     1     2     1      40    60      80     240    270    1          40     1         10    05    15    12    14    11
13173-13205     13173    13205     4     1     2     1      40    60      80     240    270    1          40     1         10    05    15    12    14    11
13231-13461     13231    13461     2     1     2     1      40    60      80     240    270    1          40     1         06    05    15    12    14    11
13482-13514     13482    13514     4     1     2     1      40    60      80     240    270    1          40     1         06    05    15    12    14    11
13564-13808     13564    13808     2    -1     2     1      40    60      80     240    270    1          40     1         10    30    15    12    14    11
13812-14080     13812    14080     2    -1     2     1      40    60      80     240    270    1          40     1         06    30    15    12    14    11
14083-14119     14083    14119     4    -1     2     1      40    60      80     240    270    1          40     1         06    30    15    12    14    11
14136-14199     14136    14199     2    -1     2     1      40    60      80     240    270    1          40     1         10    05    15    12    14    11
14370-14640     14370    14640     2    -1     2     1      40    60      80     240    270    1          40     1         10    05    15    12    14    11
14641-14673     14641    14673     4    -1     2     1      40    60      80     240    270    1          40     1         10    05    15    12    14    11
14682-14946     14682    14946     2    -1     2     1      40    60      80     240    270    1          40     1         06    05    15    12    14    11
14947-14979     14947    14979     4    -1     2     1      40    60      80     240    270    1          40     1         06    05    15    12    14    11
16297-16470     16297    16470     2    -1     4     1      40    60      80     240    270    1          45     1         06    30    6     15    14    12
16479-16512     16479    16512     2    -1     4     1      40    60      80     240    270    1          45     1         06    30    6     15    14    12
16513-16545     16513    16545     4    -1     4     1      40    60      80     240    270    1          45     1         06    30    6     15    14    12
16550-16868     16550    16868     2    -1     4     1      40    60      80     240    270    1          45     1         10    30    6     15    14    12
16869-16892     16869    16892     4    -1     4     1      40    60      80     240    270    1          45     1         10    30    6     15    14    12
16893-17187     16893    17187     2    -1     4     1      40    60      80     240    270    1          45     1         06    05    6     15    14    12
17188-17210     17188    17210     4    -1     4     1      40    60      80     240    270    1          45     1         06    05    6     15    14    12
17211-17455     17211    17455     2    -1     4     1      40    60      80     240    270    1          45     1         10    05    6     15    14    12
17456-17482     17456    17482     4    -1     4     1      40    60      80     240    270    1          45     1         10    05    6     15    14    12
17499-17765     17499    17765     2     1     4     1      40    60      80     240    270    1          45     1         06    30    6     15    14    12
17766-17798     17766    17798     4     1     4     1      40    60      80     240    270    1          45     1         06    30    6     15    14    12
17809-18064     17809    18064     2     1     4     1      40    60      80     240    270    1          45     1         10    30    6     15    14    12
18065-18097     18065    18097     4     1     4     1      40    60      80     240    270    1          45     1         10    30    6     15    14    12
18106-18378     18106    18378     2     1     4     1      40    60      80     200    225    1          45     1         06    05    6     15    14    12
18390-18432     18390    18432     4     1     4     1      40    60      80     200    225    1          45     1         06    05    6     15    14    12
18450-18694     18450    18694     2     1     4     1      40    65      85     265    295    1          45     1         06    05    6     15    14    12
18695-18728     18695    18728     4     1     4     1      45    65      85     265    295    1          45     1         06    05    6     15    14    12
18735-18767     18735    18767     4     1     4     1      35    55      75     215    245    1          45     1         10    05    6     15    14    12
18768-19067     18768    19067     2     1     4     1      40    55      75     215    245    1          45     1         10    05    6     15    14    12
19074-19383     19074    19383     2    -1     4     1      40    60      80     240    270    1          45     1         06    30    6     15    14    12
19392-19651     19392    19651     2    -1     4     1      40    60      80     240    270    1          45     1         06    30    6     15    14    12
19652-19704     19652    19704     4    -1     4     1      40    60      80     240    270    1          45     1         06    30    6     15    14    12
19712-19961     19712    19961     2    -1     4     1      40    60      80     240    270    1          45     1         10    30    6     15    14    12
19980-20255     19980    20255     2    -1     4     1      40    60      80     240    270    1          45     1         10    30    6     15    14    12
20256-20308     20256    20308     4    -1     4     1      40    60      80     240    270    1          45     1         10    30    6     15    14    12
20314-20541     20314    20541     2    -1     4     1      40    60      80     260    290    1          45     1         06    05    6     15    14    12
20542-20574     20542    20574     4    -1     4     1      40    60      80     260    290    1          45     1         06    05    6     15    14    12
20610-20712     20610    20712     2    -1     4     1      40    60      80     230    260    1          45     1         10    05    6     15    14    12
20858-20910     20858    20910     4    -1     4     1      40    60      80     230    260    1          45     1         10    05    6     15    14    12
20917-21218     20917    21218     2    -1     4     1      40    60      80     230    260    1          45     1         10    05    6     15    14    12
21225-21542     21225    21542     2     1     4     1      40    60      80     230    260    1          45     1         06    30    6     15    14    12
21547-21821     21547    21821     2     1     4     1      40    60      80     230    260    1          45     1         10    30    6     15    14    12
21822-21854     21822    21854     4     1     4     1      40    60      80     230    260    1          45     1         10    30    6     15    14    12
21866-22142     21866    22142     2     1     4     1      40    60      80     230    260    1          45     1         06    05    6     15    14    12
22143-22175     22143    22175     4     1     4     1      40    60      80     230    260    1          45     1         06    30    6     15    14    12
22178-22460     22178    22460     2     1     4     1      40    60      80     230    260    1          45     1         10    05    6     15    14    12
22461-22493     22461    22493     4     1     4     1      40    60      80     230    260    1          45     1         10    05    6     15    14    12
22501-22769     22501    22769     2    -1     4     1      40    60      80     230    260    1          45     1         06    05    6     15    14    12
22770-22802     22770    22802     4    -1     4     1      40    60      80     230    260    1          45     1         06    05    6     15    14    12
22855-23145     22855    23145     2    -1     5     1      40    60      80     230    260    1          42     1         06    30    6     14    15    12
23170-23472     23170    23472     2    -1     5     1      40    60      80     230    260    1          42     1         10    30    6     14    15    12
23473-23750     23473    23750     2    -1     5     1      40    60      80     230    260    1          42     1         06    05    6     14    15    12
23750-23782     23750    23782     4    -1     5     1      40    60      80     230    260    1          42     1         06    05    6     15    12    14
23783-23815     23783    23815     4    -1     5     1      40    60      80     230    260    1          42     1         06    30    6     15    12    14
23820-24070     23820    24070     2    -1     5     1      40    60      80     220    250    1          100    1         10    05    6     14    15    12
24071-24103     24071    24103     4    -1     5     1      40    60      80     220    250    1          100    1         10    05    6     15    12    14
24104-24136     24104    24136     4    -1     5     1      40    60      80     220    250    1          100    1         10    30    6     15    12    14
24140-24412     24140    24412     2     1     5     1      40    60      80     220    250    1          30     1         06    30    6     14    15    12
24413-24445     24413    24445     4     1     5     1      40    60      80     220    250    1          30     1         06    30    6     15    12    14
24449-24747     24449    24747     2     1     5     1      40    60      80     220    250    1          70     1         10    30    6     14    15    12
24748-24780     24748    24780     4     1     5     1      40    60      80     220    250    1          40     1         10    30    6     15    12    14
24786-25088     24786    25088     2     1     5     1      40    60      80     220    250    1          40     1         06    05    6     14    15    12
25093-25125     25093    25125     4     1     5     1      40    60      80     220    250    1          40     1         06    05    6     15    12    14
25130-25453     25130    25453     2     1     5     1      40    60      80     220    250    1          75     1         10    05    6     14    15    12
25454-25486     25454    25486     4     1     5     1      40    60      80     220    250    1          75     1         10    05    6     15    12    14
25492-25780     25492    25780     2    -1     5     1      40    60      80     220    250    1          60     1         06    30    6     14    15    12
25812-26067     25812    26067     2    -1     5     1      40    60      80     220    250    1          70     1         06    30    6     14    15    12
26068-26100     26068    26100     4    -1     5     1      40    60      80     220    250    1          75     1         06    30    6     15    12    14
26110-26391     26110    26391     2    -1     5     1      40    60      80     220    250    1          70     1         10    30    6     14    15    12
26409-26709     26409    26709     2    -1     5     1      40    60      80     220    250    1          65     1         10    30    6     14    15    12
26710-26742     26710    26742     4    -1     5     1      40    60      80     220    250    1          65     1         10    30    6     15    12    14
26748-27038     26748    27038     2    -1     5     1      40    60      80     230    260    1          65     1         06    05    6     14    15    12
27038-27070     27038    27070     4    -1     5     1      40    60      80     220    250    1          65     1         06    05    6     15    12    14
27075-27201     27075    27201     2    -1     5     1      40    60      80     230    260    1          65     1         10    05    6     14    15    12
27367-27419     27367    27419     4    -1     5     1      40    60      80     220    250    1          65     1         10    05    6     15    12    14
27420-27734     27420    27734     2    -1     5     1      40    60      80     230    260    1          65     1         10    05    6     14    15    12
27752-28065     27752    28065     2     1     5     1      40    60      80     230    260    1          65     1         06    05    6     14    15    12
28066-28098     28066    28098     4     1     5     1      40    60      80     220    250    1          65     1         06    05    6     15    12    14
28102-28340     28102    28340     2     1     5     1      40    60      80     230    260    1          60     1         10    05    6     14    15    12
28341-28373     28341    28373     4     1     5     1      40    60      80     220    250    1          60     1         10    05    6     15    12    14
28380-28675     28380    28675     2     1     5     1      40    60      80     230    260    1          60     1         06    30    6     14    15    12
28676-28687     28676    28687     4     1     5     1      40    60      80     220    250    1          60     1         06    30    6     15    12    14
28689-28714     28689    28714     4     1     5     1      40    60      80     220    250    1          60     1         06    30    6     15    12    14
28725-29001     28725    29001     2     1     5     1      40    60      80     220    250    1          60     1         10    30    6     14    15    12
29031-29303     29031    29303     2     1     5     1      40    60      80     220    250    1          60     1         10    30    6     14    15    12
29304-29336     29304    29336     4     1     5     1      40    60      80     220    250    1          60     1         10    30    6     15    12    14
29358-29630     29358    29630     2     1     5     1      40    60      80     220    250    1          60     1         06    30    6     14    15    12
29631-29663     29631    29663     4     1     5     1      40    60      80     220    250    1          60     1         06    30    6     15    12    14
29691-29985     29691    29985     2     1     5     1      40    60      80     220    250    1          60     1         10    30    6     14    15    12
29986-30022     29986    30022     4     1     5     1      40    60      80     220    250    1          60     1         10    30    6     15    12    14
30755-30987     30755    30987     2     1     6     1      40    60      80     220    250    1          80     1         06    05    6     12    15    14
30989-31020     30989    31020     4     1     6     1      40    60      80     220    250    1          80     1         06    05    6     15    12    14
31025-31352     31025    31352     2     1     6     1      40    60      80     180    210    1          80     1         10    05    6     12    15    14
31353-31385     31353    31385     4     1     6     1      40    60      80     180    210    1          80     1         10    05    6     12    15    14
31389-31674     31389    31674     2     1     6     1      40    55      75     235    265    1          80     1         06    30    6     12    15    14
31675-31707     31675    31707     4     1     6     1      40    55      75     235    265    1          80     1         06    30    6     12    15    14
31711-31825     31711    31825     2     1     6     1      40    55      75     235    265    1          80     1         10    30    6     12    15    14
31835-31868     31835    31868     4     1     6     1      40    55      75     235    265    1          80     1         10    30    6     12    15    14
31874-32176     31874    32176     2     1     6     1      30    45      65     225    255    1          80     1         10    30    6     12    15    14
